,Produit,Baseline (14-Feb-2020),Price (Latest date),Variation,Année,Mois
223,Fruit et Légume,2.29,2.31,0.87,2020,04
224,Fruit et Légume,749.57,749.99,0.06,2020,04
225,Fruit et Légume,22.44,22.42,-0.09,2020,04
226,Fruit et Légume,18.38,18.86,2.59,2020,04
227,Fruit et Légume,120.51,127.53,5.82,2020,04
228,Fruit et Légume,259.43,267.55,3.13,2020,04
229,Fruit et Légume,2.06,2.01,-2.43,2020,04
230,Fruit et Légume,23.48,24.07,2.5,2020,04
231,Fruit et Légume,1.64,1.71,4.47,2020,04
232,Fruit et Légume,1.06,1.12,5.66,2020,04
233,Fruit et Légume,4.07,4.25,4.42,2020,04
234,Fruit et Légume,1.98,2.07,4.55,2020,04
235,Fruit et Légume,4.92,5.78,17.48,2020,04
236,Fruit et Légume,2.56,2.65,3.52,2020,04
237,Fruit et Légume,23.31,23.32,0.04,2020,04
238,Fruit et Légume,1252.88,1250.0,-0.23,2020,04
239,Fruit et Légume,1.78,1.83,2.81,2020,04
240,Fruit et Légume,2.61,2.67,2.3,2020,04
241,Fruit et Légume,3.45,4.45,28.99,2020,04
242,Fruit et Légume,9.71,13.49,38.93,2020,04
243,Fruit et Légume,1.33,1.32,-0.75,2020,04
244,Fruit et Légume,3.51,3.51,0.0,2020,04
245,Fruit et Légume,125.69,125.58,-0.09,2020,04
246,Fruit et Légume,1375.0,1375.0,0.0,2020,04
247,Fruit et Légume,2000.67,2000.01,-0.03,2020,04
248,Fruit et Légume,1.4,1.43,2.14,2020,04
249,Fruit et Légume,11.45,18.78,64.02,2020,04
250,Fruit et Légume,30.03,30.0,-0.1,2020,04
251,Fruit et Légume,17.05,17.9,4.99,2020,04
252,Fruit et Légume,3.0,3.0,0.0,2020,04
253,Fruit et Légume,4.3,4.3,0.0,2020,04
254,Fruit et Légume,901.31,899.99,-0.15,2020,04
255,Fruit et Légume,27.87,29.89,7.25,2020,04
256,Fruit et Légume,2.46,2.56,4.07,2020,04
257,Fruit et Légume,8.94,9.63,7.72,2020,04
258,Fruit et Légume,2.34,3.57,52.56,2020,04
259,Fruit et Légume,319.04,325.56,2.04,2020,04
260,Fruit et Légume,33967.19,35562.8,4.7,2020,04
261,Fruit et Légume,1.31,1.57,19.85,2020,04
262,Fruit et Légume,132.56,137.55,3.77,2020,04
263,Fruit et Légume,2.1,2.16,2.86,2020,04
264,Fruit et Légume,1.33,1.17,-12.03,2020,04
265,Fruit et Légume,1372.3,1360.81,-0.84,2020,04
266,Fruit et Légume,306.62,331.64,8.16,2020,04
267,Fruit et Légume,9.81,10.14,3.36,2020,04
268,Fruit et Légume,1.76,1.81,2.84,2020,04
269,Fruit et Légume,908.78,909.33,0.06,2020,04
270,Fruit et Légume,1.38,1.48,7.25,2020,04
271,Fruit et Légume,738.89,751.93,1.76,2020,04
272,Fruit et Légume,470.76,484.9,3.0,2020,04
273,Fruit et Légume,253.04,236.1,-6.69,2020,04
274,Fruit et Légume,59.05,67.86,14.92,2020,04
275,Fruit et Légume,3.55,3.84,8.17,2020,04
276,Fruit et Légume,7854.6,7817.4,-0.47,2020,04
277,Fruit et Légume,0.59,0.64,8.47,2020,04
278,Fruit et Légume,4.0,3.99,-0.25,2020,04
279,Fruit et Légume,1.84,1.87,1.63,2020,04
280,Fruit et Légume,9.8,9.85,0.51,2020,04
281,Fruit et Légume,14.64,14.25,-2.64,2020,04
282,Fruit et Légume,399.26,422.0,5.7,2020,04
283,Fruit et Légume,25.01,25.33,1.28,2020,04
284,Fruit et Légume,0.83,0.86,3.61,2020,04
285,Fruit et Légume,2.39,2.54,6.28,2020,04
286,Fruit et Légume,1.05,1.04,-0.95,2020,04
287,Fruit et Légume,36.16,37.24,2.99,2020,04
288,Fruit et Légume,12.32,12.31,-0.11,2020,04
289,Fruit et Légume,1.5,2.67,78.0,2020,04
290,Fruit et Légume,12.84,13.58,5.76,2020,04
291,Fruit et Légume,4463.92,5650.0,26.57,2020,04
292,Fruit et Légume,39.05,40.84,4.58,2020,04
293,Fruit et Légume,40.65,43.7,7.5,2020,04
294,Fruit et Légume,2.55,2.62,2.75,2020,04
295,Fruit et Légume,2.34,2.34,0.0,2020,04
296,Fruit et Légume,0.8,0.82,2.5,2020,04
297,Fruit et Légume,5793.67,5546.91,-4.26,2020,04
298,Fruit et Légume,133.31,138.48,3.88,2020,04
299,Fruit et Légume,769.6,726.35,-5.62,2020,04
300,Fruit et Légume,73.96,80.84,9.3,2020,04
301,Fruit et Légume,2971.77,3500.01,17.78,2020,04
302,Fruit et Légume,9.74,9.92,1.85,2020,04
303,Fruit et Légume,27.92,29.0,3.87,2020,04
304,Fruit et Légume,457.04,492.49,7.76,2020,04
305,Fruit et Légume,1054.34,1163.16,10.32,2020,04
306,Fruit et Légume,6.37,6.04,-5.18,2020,04
307,Fruit et Légume,2.26,2.29,1.33,2020,04
308,Fruit et Légume,28.28,29.17,3.15,2020,04
309,Fruit et Légume,199.38,217.16,8.92,2020,04
310,Fruit et Légume,3.54,3.73,5.37,2020,04
311,Fruit et Légume,0.89,0.9,1.12,2020,04
312,Fruit et Légume,170.66,174.55,2.28,2020,04
